eval,beauty,minority,age,gender,credits,division,native,tenure,allstudents
4.3,0.2899157,yes,36,female,more,upper,yes,yes,43
4.5,-0.7377322,no,59,male,more,upper,yes,yes,20
3.7,-0.5719836,no,51,male,more,upper,yes,yes,55
4.3,-0.6779634,no,40,female,more,upper,yes,yes,46
4.4,1.509794,no,31,female,more,upper,yes,yes,48
4.2,0.5885687,no,62,male,more,upper,yes,yes,282
4,-0.126001,no,33,female,more,upper,yes,yes,41
3.4,-0.25818990000000003,no,51,female,more,upper,yes,yes,41
4.5,0.1496926,no,33,female,more,upper,yes,yes,60
3.9,0.540917,no,47,male,more,upper,yes,no,19
3.1,0.2316134,yes,35,male,more,upper,no,yes,25
4,-0.0666737,no,37,male,more,upper,yes,no,34
3.8,0.2168924,no,42,male,more,upper,yes,yes,40
3.4,-0.2586962,no,49,male,more,upper,no,yes,36
2.9,0.5502878,no,37,female,more,upper,yes,yes,28
4.5,-0.0620358,no,45,male,more,upper,yes,yes,33
4,-0.9823852,no,56,female,more,upper,yes,no,41
3.8,-0.054344,no,48,male,more,lower,yes,no,135
4.3,-0.0680143,no,46,female,more,upper,yes,yes,31
3.4,0.0294137,no,57,female,more,upper,yes,no,28
3.4,0.2394859,no,52,female,more,upper,yes,no,22
3.3,-0.8487269,yes,29,female,more,upper,no,yes,26
4.3,-0.7330914,no,62,male,more,upper,yes,yes,39
4.4,-0.1111221,no,64,male,more,upper,yes,yes,24
4.6,1.775517,no,34,female,more,upper,yes,yes,26
4.2,-0.3218485,no,58,male,more,upper,yes,yes,159
4,0.2116939,yes,52,male,more,upper,no,yes,16
3.3,-0.717645,no,73,male,more,upper,yes,yes,17
4.4,-0.7326927,no,70,male,more,upper,yes,yes,134
2.3,0.4081676,no,41,female,more,upper,yes,yes,12
3.5,-0.0102077,no,63,male,more,upper,yes,no,43
4.7,-0.923957,no,47,male,more,upper,yes,yes,15
3.9,0.5766805,no,39,male,more,lower,yes,yes,246
4,-0.0836015,yes,47,female,more,lower,yes,yes,21
4.3,-1.079558,no,54,male,more,upper,yes,yes,15
3.8,1.040902,yes,44,female,more,upper,yes,yes,55
3.8,-1.052108,yes,47,male,more,upper,yes,yes,27
4,-0.7277681,no,62,male,more,upper,yes,yes,13
4.6,-0.3953965,no,60,male,more,upper,yes,yes,34
3.5,0.9333959,no,37,male,more,upper,yes,yes,17
4.7,-0.2377786,no,42,male,more,upper,yes,yes,14
4.2,0.274908,no,35,male,more,upper,yes,yes,51
3.4,1.970023,no,39,female,more,lower,yes,no,24
3.9,1.05095,no,49,male,more,upper,yes,yes,45
4.5,0.2418185,no,61,male,more,lower,yes,yes,27
4.7,1.349395,no,33,male,more,upper,yes,yes,31
3.5,0.1115635,no,58,female,more,upper,yes,yes,34
3.7,-0.2577254,no,56,female,more,upper,yes,yes,19
4,-0.6562689,no,50,female,more,lower,yes,no,27
4.1,-0.6563948,no,52,male,more,upper,yes,yes,67
4.4,0.7244775,no,33,female,more,upper,yes,yes,15
4.2,0.6318343,no,57,male,more,upper,yes,yes,77
4.5,1.070944,no,38,female,more,upper,yes,yes,65
3.8,-1.450494,no,34,female,more,lower,yes,yes,91
3.1,1.15588,no,34,male,more,upper,yes,yes,36
3.7,-0.3260148,no,32,male,more,lower,yes,yes,248
3.9,0.8846435,no,42,female,more,lower,yes,yes,62
4,-0.5583452,no,43,female,more,lower,yes,yes,51
3.3,-0.3415543,no,35,male,more,upper,no,yes,19
3.1,-0.5040575,no,62,female,more,upper,yes,yes,27
4,-0.9005804,no,42,male,more,upper,yes,yes,86
4.3,0.6430142,no,39,male,more,upper,yes,yes,29
3.7,0.773524,no,52,female,more,upper,yes,yes,88
3.4,1.063938,no,52,female,more,upper,yes,yes,44
4.3,-1.090389,no,52,female,more,upper,yes,no,75
3.7,-1.069162,no,64,male,more,upper,yes,yes,11
4.2,1.415695,no,50,male,more,upper,yes,yes,16
2.2,-1.422919,no,60,male,more,upper,yes,yes,32
3,0.3918222,no,51,female,more,upper,yes,yes,67
4.3,-0.4899626,no,43,male,more,lower,yes,yes,22
4.6,-0.5835869,yes,50,male,single,lower,yes,no,24
3.5,0.7566829,no,52,male,more,upper,yes,yes,69
4.6,0.8808186,no,51,male,more,lower,yes,yes,574
3.7,-0.5665014,no,38,male,more,lower,yes,yes,87
3.8,0.3394037,no,47,female,more,lower,yes,yes,24
3.6,-0.1513687,yes,43,female,more,lower,yes,yes,103
4.4,-1.024997,no,38,female,more,lower,yes,no,68
4.1,-0.0252444,no,43,male,more,lower,yes,yes,13
4.3,-0.7467875,no,57,male,more,upper,yes,yes,13
4,0.9889485,no,51,female,more,upper,yes,yes,11
4.8,-0.5324199,no,45,male,single,lower,yes,no,17
3.5,-0.7668921,no,57,male,more,lower,yes,yes,14
3.6,1.154256,no,47,female,more,lower,yes,no,21
3.8,1.232602,yes,54,female,more,lower,yes,yes,18
4.7,1.774334,no,58,male,more,lower,yes,no,17
4.9,1.773151,no,42,male,more,lower,yes,yes,18
4.3,0.7245926,no,33,male,more,lower,yes,yes,120
3.3,-1.181626,no,62,male,more,lower,yes,yes,38
3.4,1.769452,yes,35,female,more,lower,yes,yes,96
3.6,-0.5872612,no,61,male,more,lower,yes,yes,39
4,-0.0018324,no,52,female,more,lower,yes,yes,111
3.9,-0.0566766,no,60,female,more,upper,no,yes,27
4.3,1.231394,no,32,male,more,lower,yes,yes,132
3.3,0.4203998,yes,42,female,more,upper,no,yes,84
3.7,0.2899157,yes,36,female,more,upper,yes,yes,125
3.6,0.2899157,yes,36,female,more,upper,yes,yes,125
4.4,0.2899157,yes,36,female,more,upper,yes,yes,123
4,-0.7377322,no,59,male,more,upper,yes,yes,40
2.1,-0.7377322,no,59,male,more,upper,yes,yes,44
3.2,-0.5719836,no,51,male,more,upper,yes,yes,195
3.5,-0.6779634,no,40,female,more,upper,yes,yes,27
4.1,-0.6779634,no,40,female,more,upper,yes,yes,25
4.6,-0.6779634,no,40,female,more,upper,yes,yes,20
3.8,-0.6779634,no,40,female,more,upper,yes,yes,25
3.8,-0.6779634,no,40,female,more,upper,yes,yes,42
3.8,-0.6779634,no,40,female,more,upper,yes,yes,20
4.2,-0.6779634,no,40,female,more,upper,yes,yes,18
3.9,1.509794,no,31,female,more,upper,yes,yes,44
4.5,1.509794,no,31,female,more,upper,yes,yes,48
4.5,1.509794,no,31,female,more,upper,yes,yes,45
4.4,1.509794,no,31,female,more,upper,yes,yes,59
4.4,1.509794,no,31,female,more,upper,yes,yes,87
4.4,0.5885687,no,62,male,more,upper,yes,yes,292
4.5,0.5885687,no,62,male,more,upper,yes,yes,130
4.3,0.5885687,no,62,male,more,upper,yes,yes,285
4.6,0.5885687,no,62,male,more,upper,yes,yes,272
4.8,0.5885687,no,62,male,more,upper,yes,yes,286
